일자,현재가,대비부호,전일대비,등락율,체결수량,프로그램매도금액,프로그램매수금액,프로그램순매수금액,프로그램순매수금액증감,프로그램매도수량,프로그램매수수량,프로그램순매수수량,프로그램순매수수량증감,거래소구분
20250805,-54700,5,-700,-1.26,4343070,70992,50069,--20923,--58991,1309302,920848,--388454,--1037546,KRX
20250804,-55400,5,-100,-0.18,8113567,96737,134805,+38068,+56522,1702708,2351800,+649092,+978042,KRX
20250801,-55500,5,-2500,-4.31,2256317,49445,30991,--18454,--21343,884114,555164,--328950,--379619,KRX
20250731,+58000,2,+1700,+3.02,2062382,34919,37808,+2889,+34185,609796,660465,+50669,+599143,KRX
20250730,+56300,2,+300,+0.54,3314430,64258,32962,--31296,--13042,1126650,578176,--548474,--221922,KRX
20250729,+56000,2,+100,+0.18,1272773,27924,9670,--18254,+4933,499238,172686,--326552,+89004,KRX
20250728,+55900,2,+100,+0.18,1437014,40359,17172,--23187,--24918,722671,307115,--415556,--445996,KRX
20250725,+55800,2,+1700,+3.14,1822409,34118,35849,+1731,--5765,618253,648693,+30440,--109877,KRX
20250724,-54100,5,-900,-1.64,1968455,33481,40977,+7496,--3603,614815,755132,+140317,--62725,KRX
20250723,-55000,5,-1500,-2.65,1861734,25363,36462,+11099,+6815,460282,663324,+203042,+126653,KRX
20250722,-56500,5,-400,-0.70,1274106,21209,25493,+4284,+7402,376015,452404,+76389,+131439,KRX
20250721,56900,3,0,0.00,1111739,21462,18344,--3118,+5253,377629,322579,--55050,+91821,KRX
20250718,-56900,5,-600,-1.04,1334076,30136,21765,--8371,--43206,530229,383358,--146871,--747668,KRX
